id;area;title;risk;effort;description;business_risk;check;sources;pingcastle;certipy;remediation;impact;mitre
ACL-06;AD – Uprawnienia i ścieżki ataku;Kontrola zapisu msDS-KeyCredentialLink (Shadow Credentials);Wysokie;Niski;Nikt poza uprawnionymi systemami nie może zapisywać msDS-KeyCredentialLink na kontach uprzywilejowanych i komputerach T0.;Zapis tego atrybutu pozwala uwierzytelnić się jako ofiara certyfikatem.;BloodHound: AddKeyCredentialLink.;BloodHound;;;"Usuń nadmiarowe ACE (GenericWrite/WriteProperty) na obiektach; monitoruj 5136 dla atrybutu msDS-KeyCredentialLink.";;T1556
ACL-07;AD – Uprawnienia i ścieżki ataku;Kontrola odczytu haseł gMSA i LAPS;Wysokie;Niski;"Tylko przewidziane hosty mogą pobrać hasło gMSA; tylko właściwe grupy mogą czytać LAPS.";Nadmiarowe uprawnienia = odczyt haseł kont serwisowych/lokalnych adminów.;BloodHound: ReadGMSAPassword, ReadLAPSPassword.;BloodHound;;;"Ogranicz PrincipalsAllowedToRetrieveManagedPassword; popraw rozszerzone prawa LAPS (Find-LapsADExtendedRights).";;T1555
DC-01;AD – Kontrolery domeny i las;Wspierane systemy i aktualne poprawki na DC;Krytyczne;Średni;DC działają na wspieranych wersjach Windows Server i mają bieżące poprawki bezpieczeństwa.;Niezałatane DC są podatne na znane ataki (np. Zerologon, noPac).;PingCastle: DC not updated / Operating systems. Get-ADDomainController -Filter * | Select Name,OperatingSystem;PingCastle, PowerShell;S-DC-NotUpdated;;"Plan aktualizacji comiesięcznych dla DC; migracja DC ze starszych systemów; testy w środowisku przedprodukcyjnym.";;T1210
DC-02;AD – Kontrolery domeny i las;Kopia zapasowa AD i przetestowane odtworzenie lasu;Krytyczne;Średni;Regularny backup System State co najmniej 2 DC w domenie, kopie odizolowane, udokumentowana i przetestowana procedura odtworzenia lasu.;Bez sprawdzonej kopii AD atak ransomware lub zniszczenie AD oznacza długie zatrzymanie firmy.;PingCastle: Last AD backup. repadmin /showbackup;PingCastle, PowerShell;A-BackupMetadata;;"Backup System State (np. wbadmin start systemstatebackup) do lokalizacji niedostępnej z domeny; kopie offline/immutable; test odtworzenia lasu w izolowanej sieci co najmniej raz w roku.";;T1490
DC-03;AD – Kontrolery domeny i las;AD Recycle Bin włączony;Niskie;Niski;Funkcja kosza AD włączona w lesie.;Ułatwia szybkie odtworzenie przypadkowo lub złośliwie usuniętych obiektów.;PingCastle: Recycle Bin. Get-ADOptionalFeature 'Recycle Bin Feature';PingCastle, PowerShell;P-RecycleBin;;Enable-ADOptionalFeature 'Recycle Bin Feature' -Scope ForestOrConfigurationSet -Target <las>;Nieodwracalne – ale bezpieczne.;
DC-04;AD – Kontrolery domeny i las;DC bez zbędnych ról i oprogramowania;Wysokie;Średni;Na DC nie działają inne role (serwer plików, druk, aplikacje), ani agenci zarządzani z niższych warstw.;Każda dodatkowa usługa i agent to kolejna droga do przejęcia DC.;"Get-WindowsFeature | ? Installed; lista oprogramowania i usług na DC.";Ręcznie;;;"Przenieś role na serwery członkowskie; agentów zarządzających (AV/EDR/backup/monitoring) zarządzaj z konsol traktowanych jako T0.";;T1210
DC-05;AD – Kontrolery domeny i las;Relacje zaufania: filtrowanie SID, brak nieużywanych trustów;Wysokie;Średni;Zewnętrzne trusty mają SID filtering (quarantine), nieaktywne trusty są usunięte, rozważono selective authentication.;Przejęta zaufana domena może stać się furtką do tej domeny (SID History).;PingCastle: sekcja Trusts. Get-ADTrust -Filter * | Select Name,Direction,SIDFilteringQuarantined,SelectiveAuthentication;PingCastle, PowerShell;T-SIDFiltering,T-Inactive;;"netdom trust <domena> /domain:<zaufana> /quarantine:yes; usuń nieużywane trusty; selective authentication dla trustów z podmiotami zewnętrznymi.";;T1134.005
DC-06;AD – Kontrolery domeny i las;Brak SIDHistory na kontach;Średnie;Niski;Atrybut sIDHistory jest wyczyszczony po zakończonych migracjach.;SIDHistory może ukrywać uprawnienia administratora.;PingCastle: SID History. Get-ADUser -Filter {SIDHistory -like '*'} -Properties SIDHistory;PingCastle, PowerShell;;;Po zakończonej migracji wyczyść: Set-ADUser <konto> -Remove @{SIDHistory='<SID>'}.;Upewnij się, że zasoby w starej domenie nie są już używane.;T1134.005
TIER-01;Model warstwowy;Zdefiniowane zasoby T0 i ich ochrona;Krytyczne;Wysoki;Zidentyfikowane wszystkie systemy T0 (DC, AD CS, ADFS, Entra Connect, backup AD, systemy PAM, hypervisory i storage hostujące DC, konsole zarządzające agentami na DC) i chronione jak DC.;Atakujący nie atakuje DC wprost – przejmuje system, który zarządza DC.;"Przegląd architektury; BloodHound: oznacz obiekty Tier Zero i sprawdź ścieżki do nich.";Ręcznie, BloodHound;;;"1. Lista zasobów T0 z właścicielami.
2. Osobne OU, GPO i konta administracyjne T0.
3. Te same wymagania (poprawki, EDR, logowanie, backup) co dla DC.";;
TIER-02;Model warstwowy;Konta T0 nie logują się na systemy T1/T2;Krytyczne;Średni;GPO (Deny log on…) lub Authentication Policies and Silos uniemożliwiają logowanie kont T0 poza T0.;Logowanie admina T0 na stacji lub serwerze pozostawia jego poświadczenia w pamięci – po przejęciu tego hosta atakujący przejmuje domenę.;BloodHound: sesje kont T0 na hostach T1/T2 (HasSession). SIEM: 4624 kont T0 z hostów spoza T0.;BloodHound, SIEM;;;"GPO dla T1/T2: Deny log on locally, Deny log on through Remote Desktop Services, Deny access from the network, Deny log on as batch/service = grupy T0.
Lepiej: Authentication Policy Silo dla kont T0 (ograniczenie do hostów T0).";Wymaga PAW i przygotowanych ścieżek administracji.;T1078.002
TIER-03;Model warstwowy;Stacje PAW dla administratorów T0;Wysokie;Wysoki;Administracja T0 odbywa się wyłącznie z dedykowanych, utwardzonych stacji (PAW) bez poczty i internetu.;Stacja administratora jest najczęściej atakowanym elementem.;Przegląd: skąd logują się konta T0 (4624 IpAddress/WorkstationName).;SIEM, ręcznie;;;"Wdrożenie PAW (Credential Guard, WDAC, brak uprawnień lokalnych dla użytkownika, dostęp tylko do systemów T0); do czasu wdrożenia – jump host T0.";;
MON-01;Monitoring i audyt;Zaawansowana polityka audytu na DC;Wysokie;Niski;Włączone kategorie audytu potrzebne do wykrywania ataków na AD.;Bez zdarzeń nie da się wykryć ani zbadać ataku.;PingCastle: Audit policy on DC. auditpol /get /category:* na DC.;PingCastle, PowerShell;A-AuditDC;;GPO Default Domain Controllers (Advanced Audit Policy Configuration): Kerberos Authentication Service i Service Ticket Operations (S/F), Credential Validation (S/F), Security Group Management (S), User Account Management (S/F), Computer Account Management (S), Directory Service Changes (S), Directory Service Access (S), Logon (S/F), Special Logon (S), Audit Policy Change (S). Plus: Audit: Force audit policy subcategory settings = Enabled.;Większy wolumen zdarzeń – uwzględnij licencję SIEM.;
MON-02;Monitoring i audyt;Logi DC w SIEM i reguły wykrywania ataków na AD;Wysokie;Średni;"Wszystkie DC wysyłają dziennik Security do SIEM; działają reguły: DCSync, Kerberoasting, zmiany grup T0, zmiany GPO/ACL, logowania kont T0.";Wykrycie w godzinach zamiast miesięcy.;"SIEM: czy każdy DC raportuje; lista aktywnych reguł.";SIEM;;;"Onboarding DC do SIEM; reguły korelacyjne dla 4662 (replikacja), 4769 RC4, 4728/4732/4756, 5136 (GPO/ACL), 4624 kont T0; testy reguł (atomic tests).";;
MON-03;Monitoring i audyt;Logowanie PowerShell na DC i serwerach T0;Średnie;Niski;Script Block Logging i Module Logging włączone.;PowerShell to podstawowe narzędzie atakujących w AD.;PingCastle: PowerShell audit. Zdarzenia 4104 w SIEM.;PingCastle, SIEM;A-AuditPowershell;;"GPO: Administrative Templates > Windows Components > Windows PowerShell > Turn on PowerShell Script Block Logging = Enabled; Turn on Module Logging = Enabled (*).";;T1059.001
MON-04;Monitoring i audyt;Konta-pułapki (honeytokens);Niskie;Niski;Konta-pułapki (np. z SPN, w opisie „admin”) z alertem na każdą aktywność.;Tanie, bardzo wiarygodne wykrycie rozpoznania i Kerberoastingu.;SIEM: reguła na 4769/4624/4771 dla kont-pułapek.;SIEM;;;"Utwórz konto z SPN i atrakcyjną nazwą, bez uprawnień, z długim hasłem; alert na każde żądanie biletu lub logowanie.";;
PKI-01;PKI (AD CS);Brak szablonów, w których wnioskujący podaje podmiot (ESC1);Krytyczne;Niski;Szablony z Client Authentication nie pozwalają zwykłym użytkownikom podawać SAN/podmiotu.;Dowolny użytkownik może uzyskać certyfikat jako administrator domeny.;Certipy: certipy find -u <user>@<domena> -vulnerable -stdout (sekcja ESC1). BloodHound CE: krawędzie AD CS (ESC1).;Certipy, BloodHound, PingCastle;A-CertTempCustomSubject;ESC1;"1. Wyłącz „Supply in the request” (CT_FLAG_ENROLLEE_SUPPLIES_SUBJECT) albo
2. wymagaj zatwierdzenia przez menedżera CA (CA certificate manager approval),
3. ogranicz Enroll do wąskiej grupy,
4. usuń EKU uwierzytelniania, jeśli zbędne.";Sprawdź, które systemy używają szablonu (np. certyfikaty serwerów www).;T1649
PKI-02;PKI (AD CS);Brak szablonów „Any Purpose” / bez EKU (ESC2);Wysokie;Niski;Szablony dostępne dla użytkowników mają konkretne EKU.;Certyfikat „do wszystkiego” może posłużyć do uwierzytelnienia lub jako agent rejestracji.;Certipy: certipy find -u <user>@<domena> -vulnerable -stdout (sekcja ESC2). BloodHound CE: krawędzie AD CS (ESC2).;Certipy, BloodHound, PingCastle;A-CertTempAnyPurpose;ESC2;"Ustaw konkretne EKU; ogranicz uprawnienia Enroll.";;T1649
PKI-03;PKI (AD CS);Kontrola szablonów Enrollment Agent (ESC3);Wysokie;Niski;Szablony z EKU Certificate Request Agent dostępne tylko dla wyznaczonych osób, z ograniczeniami agentów na CA.;Agent rejestracji może wnioskować o certyfikaty w imieniu dowolnego użytkownika.;Certipy: certipy find -u <user>@<domena> -vulnerable -stdout (sekcja ESC3). BloodHound CE: krawędzie AD CS (ESC3).;Certipy, BloodHound, PingCastle;A-CertTempAgent;ESC3;"Ogranicz Enroll; na CA: Properties > Enrollment Agents > Restrict enrollment agents (kto, dla kogo, jakie szablony).";;T1649
PKI-04;PKI (AD CS);Brak niebezpiecznych uprawnień na szablonach (ESC4);Krytyczne;Niski;Tylko administratorzy PKI mają Write/FullControl/WriteDacl/WriteOwner na szablonach.;Modyfikacja szablonu pozwala zamienić go w ESC1.;Certipy: certipy find -u <user>@<domena> -vulnerable -stdout (sekcja ESC4). BloodHound CE: krawędzie AD CS (ESC4).;Certipy, BloodHound;;ESC4;Usuń uprawnienia zapisu dla Domain Users/Authenticated Users/Domain Computers i innych grup niebędących T0.;;T1649
PKI-05;PKI (AD CS);Ochrona obiektów PKI w AD i serwera CA (ESC5);Krytyczne;Średni;ACL na kontenerach Public Key Services (Configuration NC), obiekcie komputera CA i NTAuthCertificates ograniczone do T0.;Kontrola nad obiektami PKI = możliwość wystawiania zaufanych certyfikatów.;Certipy: certipy find -u <user>@<domena> -vulnerable -stdout (sekcja ESC5). BloodHound CE: krawędzie AD CS (ESC5).;Certipy, BloodHound;;ESC5;"Przegląd i korekta ACL w CN=Public Key Services,CN=Services,CN=Configuration; serwer CA w T0.";;T1649
PKI-06;PKI (AD CS);Flaga EDITF_ATTRIBUTESUBJECTALTNAME2 wyłączona na CA (ESC6);Krytyczne;Niski;CA nie akceptuje SAN podanego w atrybutach wniosku.;Każdy szablon z uwierzytelnianiem klienta staje się podatny jak ESC1.;Certipy: certipy find -u <user>@<domena> -vulnerable -stdout (sekcja ESC6). BloodHound CE: krawędzie AD CS (ESC6).;Certipy, BloodHound;;ESC6;"certutil -config ""<CA_host>\<CA_name>"" -setreg policy\EditFlags -EDITF_ATTRIBUTESUBJECTALTNAME2
net stop certsvc && net start certsvc";;T1649
PKI-07;PKI (AD CS);Uprawnienia ManageCA / ManageCertificates tylko dla adminów PKI (ESC7);Krytyczne;Niski;Tylko administratorzy PKI mają uprawnienia zarządzania CA i certyfikatami.;Pozwala włączyć ESC6 lub zatwierdzać własne złośliwe wnioski.;Certipy: certipy find -u <user>@<domena> -vulnerable -stdout (sekcja ESC7). BloodHound CE: krawędzie AD CS (ESC7).;Certipy, BloodHound;;ESC7;certsrv.msc > Właściwości CA > Security: usuń Manage CA / Issue and Manage Certificates dla grup nieuprawnionych.;;T1649
PKI-08;PKI (AD CS);Web Enrollment / CES chronione przed NTLM relay (ESC8);Krytyczne;Średni;Brak HTTP Web Enrollment lub: tylko HTTPS + Extended Protection for Authentication + wyłączony NTLM.;Wymuszenie uwierzytelnienia DC + relay do Web Enrollment = certyfikat DC = przejęcie domeny.;Certipy: certipy find -u <user>@<domena> -vulnerable -stdout (sekcja ESC8). BloodHound CE: krawędzie AD CS (ESC8).;Certipy, BloodHound, PingCastle;A-CertEnrollHttp;ESC8;"1. Jeśli nieużywane – odinstaluj rolę Certification Authority Web Enrollment/CES.
2. W przeciwnym razie: tylko HTTPS, włącz EPA (IIS > Windows Authentication > Advanced > Extended Protection = Required), wyłącz NTLM (tylko Negotiate:Kerberos).";Sprawdź, kto korzysta z /certsrv.;T1649
PKI-09;PKI (AD CS);Silne mapowanie certyfikatów na DC (ESC9, ESC10);Wysokie;Średni;DC wymuszają silne mapowanie certyfikatów (StrongCertificateBindingEnforcement=2), szablony nie mają CT_FLAG_NO_SECURITY_EXTENSION, Schannel nie mapuje po UPN.;Słabe mapowanie pozwala uwierzytelnić się certyfikatem jako inne konto.;Certipy: certipy find -u <user>@<domena> -vulnerable -stdout (sekcja ESC9/ESC10). BloodHound CE: krawędzie AD CS (ESC9/ESC10).;Certipy, BloodHound;;ESC9/ESC10;"1. HKLM\SYSTEM\CurrentControlSet\Services\Kdc StrongCertificateBindingEnforcement = 2 (Microsoft przeszedł na pełne wymuszanie w 2025 r. – sprawdź poprawki DC).
2. Usuń flagę No Security Extension z szablonów (certutil -dstemplate).
3. HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\Schannel CertificateMappingMethods bez 0x4 (UPN).";;T1649
PKI-10;PKI (AD CS);Wymuszone szyfrowanie żądań RPC do CA (ESC11);Wysokie;Niski;CA wymaga szyfrowania żądań ICPR (IF_ENFORCEENCRYPTICERTREQUEST).;Bez tego możliwy NTLM relay do interfejsu RPC CA.;Certipy: certipy find -u <user>@<domena> -vulnerable -stdout (sekcja ESC11). BloodHound CE: krawędzie AD CS (ESC11).;Certipy, BloodHound;;ESC11;"certutil -config ""<CA_host>\<CA_name>"" -setreg CA\InterfaceFlags +IF_ENFORCEENCRYPTICERTREQUEST; restart certsvc.";;T1649
PKI-11;PKI (AD CS);Polityki wystawiania powiązane z grupami (ESC13);Średnie;Niski;Issuance policies z msDS-OIDToGroupLink nie są dostępne w szablonach dla szerokich grup.;Certyfikat daje członkostwo w powiązanej grupie uprzywilejowanej.;Certipy: certipy find -u <user>@<domena> -vulnerable -stdout (sekcja ESC13). BloodHound CE: krawędzie AD CS (ESC13).;Certipy, BloodHound;;ESC13;"Przejrzyj powiązania OID→grupa; ogranicz Enroll dla szablonów z takimi politykami.";;T1649
PKI-12;PKI (AD CS);Słabe jawne mapowania altSecurityIdentities (ESC14);Średnie;Niski;Brak słabych mapowań (X509IssuerSubject, X509SubjectOnly, X509RFC822) i kontrola zapisu atrybutu altSecurityIdentities.;Pozwala uwierzytelnić się certyfikatem jako konto z mapowaniem.;Certipy: certipy find -u <user>@<domena> -vulnerable -stdout (sekcja ESC14). BloodHound CE: krawędzie AD CS (ESC14).;Certipy, BloodHound;;ESC14;"Zamień na silne mapowania (X509IssuerSerialNumber, X509SKI, X509SHA1PublicKey); usuń nadmiarowe prawa zapisu altSecurityIdentities.";;T1649
PKI-13;PKI (AD CS);Poprawka dla szablonów w schemacie v1 (ESC15 / CVE-2024-49019);Wysokie;Niski;"CA ma poprawkę z listopada 2024; szablony v1 z „Supply in request” wycofane lub zastąpione wersją v2+.";Pozwala dodać dowolne zasady aplikacji do certyfikatu z szablonu v1 (np. WebServer).;Certipy: certipy find -u <user>@<domena> -vulnerable -stdout (sekcja ESC15). BloodHound CE: krawędzie AD CS (ESC15).;Certipy, BloodHound;;ESC15;"Zainstaluj poprawki na CA; zduplikuj szablony v1 (np. WebServer) do nowej wersji i ogranicz Enroll.";;T1649
PKI-14;PKI (AD CS);Rozszerzenie bezpieczeństwa SID nie jest wyłączone na CA (ESC16);Wysokie;Niski;CA nie ma szOID_NTDS_CA_SECURITY_EXT (1.3.6.1.4.1.311.25.2) na liście DisableExtensionList.;Wszystkie certyfikaty są podatne na słabe mapowanie (jak ESC9) w całej domenie.;Certipy: certipy find -u <user>@<domena> -vulnerable -stdout (sekcja ESC16). BloodHound CE: krawędzie AD CS (ESC16).;Certipy, BloodHound;;ESC16;"certutil -config ""<CA_host>\<CA_name>"" -setreg policy\DisableExtensionList -1.3.6.1.4.1.311.25.2; restart certsvc.";;T1649
PKI-15;PKI (AD CS);Serwery CA traktowane jako T0;Krytyczne;Średni;"Serwery CA administrowane kontami T0, z PAW, chronione jak DC; klucz CA chroniony (HSM lub co najmniej backup w sejfie).";Przejęcie CA pozwala wystawić certyfikat dla dowolnego konta (Golden Certificate).;Przegląd lokalnych administratorów CA, agentów, kopii zapasowych klucza.;Ręcznie, BloodHound;;;"Konta admin CA = T0; brak agentów z niższych warstw; backup klucza CA offline; rozważ HSM.";;T1649
PKI-16;PKI (AD CS);Offline Root CA, ważność i dostępność CRL/AIA;Średnie;Średni;Root CA offline, publikacja CRL/AIA dostępna i aktualna, rozsądne okresy ważności.;"Niedostępna CRL może zablokować uwierzytelnianie; online root CA to łatwiejszy cel.";"pkiview.msc; certutil -verify -urlfetch <cert>";Ręcznie;;;"Root offline, subordinate issuing CA; monitorowanie ważności CRL; procedura ponownego podpisu CRL.";;
PKI-17;PKI (AD CS);Audyt AD CS włączony;Średnie;Niski;Włączony audyt CA (wnioski, wystawienia, zmiany szablonów i konfiguracji) i wysyłka do SIEM.;Pozwala wykryć nadużycia ESC i wystawienie nieuprawnionych certyfikatów.;"certutil -getreg CA\AuditFilter; auditpol: Object Access > Certification Services.";Ręcznie, SIEM;;;"certutil -setreg CA\AuditFilter 127; włącz podkategorię Certification Services (S/F); zdarzenia 4886/4887/4888/4898/4899/4900 do SIEM.";;T1649
PKI-18;PKI (AD CS);Nieużywane szablony wycofane z publikacji;Niskie;Niski;Na CA opublikowane są tylko szablony w użyciu.;Mniej szablonów = mniejsza powierzchnia ataku.;certipy find (lista opublikowanych szablonów) vs faktyczne użycie.;Certipy;;;certsrv.msc > Certificate Templates > usuń nieużywane z publikacji (szablon zostaje w AD, ale nie jest wystawiany).;;
EP-01;Końcówki – poświadczenia;Credential Guard włączony;Wysokie;Średni;VBS i Credential Guard działają na stacjach i serwerach (poza DC).;Chroni hashe NTLM i bilety Kerberos przed kradzieżą z pamięci (Mimikatz).;"(Get-CimInstance -Namespace root\Microsoft\Windows\DeviceGuard -ClassName Win32_DeviceGuard).SecurityServicesRunning zawiera 1; msinfo32.";PowerShell, Intune/SCCM;;;"GPO: Computer > Administrative Templates > System > Device Guard > Turn On Virtualization Based Security = Enabled; Platform Security Level = Secure Boot (and DMA Protection); Credential Guard Configuration = Enabled with UEFI lock (lub without lock na etapie pilotażu).
Windows 11 22H2+ Enterprise włącza go domyślnie na zgodnym sprzęcie.";Blokuje NTLMv1, MS-CHAPv2 (stare VPN/Wi-Fi PEAP), delegację nieograniczoną i DES dla chronionych poświadczeń – pilotaż.;T1003.001
EP-02;Końcówki – poświadczenia;Ochrona LSA (LSASS jako proces chroniony);Wysokie;Niski;LSASS działa jako PPL (RunAsPPL).;Utrudnia zrzut pamięci LSASS i wstrzykiwanie do niego.;"Zdarzenie 12 (Wininit) w dzienniku System po starcie; reg query HKLM\SYSTEM\CurrentControlSet\Control\Lsa /v RunAsPPL";PowerShell;;;"1. Audyt zgodności: HKLM\...\Image File Execution Options\LSASS.exe AuditLevel=8 (zdarzenia 3065/3066).
2. GPO: Computer > Administrative Templates > System > Local Security Authority > Configure LSASS to run as a protected process = Enabled with UEFI Lock (RunAsPPL=1) lub without UEFI Lock (RunAsPPL=2, Win11 22H2+).";Niepodpisane wtyczki LSA (stare smart-card, SSO) przestaną się ładować.;T1003.001
EP-03;Końcówki – poświadczenia;WDigest wyłączony;Wysokie;Niski;Hasła nie są przechowywane w pamięci w postaci jawnej.;Włączony WDigest = hasła jawnym tekstem w pamięci.;reg query HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest /v UseLogonCredential (brak lub 0).;PowerShell;;;Ustaw UseLogonCredential=0 (GPO Preferences) i alertuj w SIEM na zmianę tej wartości (Sysmon 13).;;T1003.001
EP-04;Końcówki – poświadczenia;Ograniczone buforowanie poświadczeń;Średnie;Niski;Serwery nie buforują logowań (0–1), stacje 1–2.;Bufor poświadczeń (DCC2) może zostać złamany offline.;GPO: Interactive logon: Number of previous logons to cache.;GPO;;;"Serwery: 0–1; laptopy: 1–2 (praca bez VPN).";Za niska wartość na laptopach uniemożliwi logowanie offline.;T1003.005
EP-05;Końcówki – poświadczenia;Konta lokalne bez logowania sieciowego i RDP;Wysokie;Niski;Lokalne konta administratorów nie mogą logować się przez sieć/RDP.;Blokuje ruch boczny z użyciem lokalnych haseł (także gdy LAPS nie jest wszędzie).;GPO: User Rights Assignment. Rejestr: LocalAccountTokenFilterPolicy (brak lub 0).;GPO, PowerShell;;;GPO dla stacji/serwerów: Deny access to this computer from the network i Deny log on through Remote Desktop Services = „Local account and member of Administrators group” (S-1-5-114). Upewnij się, że LocalAccountTokenFilterPolicy ≠ 1.;;T1021.002
EP-06;Końcówki – poświadczenia;Remote Credential Guard / Restricted Admin dla RDP administratorów;Średnie;Niski;Administratorzy łączą się RDP bez wysyłania poświadczeń na serwer docelowy.;Poświadczenia admina nie zostają w pamięci serwera, z którym się łączy.;GPO: Restrict delegation of credentials to remote servers.;GPO;;;"GPO: Computer > Administrative Templates > System > Credentials Delegation > Restrict delegation of credentials to remote servers = Require Remote Credential Guard (lub Restrict Credential Delegation); połączenia: mstsc /remoteGuard.";;T1021.001
EP-10;Końcówki – PowerShell i skrypty;PowerShell Constrained Language Mode wymuszony przez WDAC/AppLocker;Wysokie;Wysoki;Dla użytkowników (i niezaufanych skryptów) PowerShell działa w ConstrainedLanguage, wymuszonym przez App Control for Business (WDAC) lub AppLocker w trybie Enforce.;Blokuje większość złośliwego kodu PowerShell (wywołania .NET/Win32 API, wstrzykiwanie).;$ExecutionContext.SessionState.LanguageMode w sesji zwykłego użytkownika = ConstrainedLanguage.;PowerShell;;;"1. Wdroż WDAC (lub AppLocker ze skryptowymi regułami) – najpierw w trybie audytu.
2. Zaufane skrypty administracyjne podpisuj certyfikatem i dopuszczaj w polityce.
3. NIE polegaj na zmiennej __PSLockdownPolicy – nie jest granicą bezpieczeństwa.
4. Dla administracji zdalnej rozważ JEA.";Skrypty logowania i narzędzia IT muszą być podpisane lub dopuszczone – duży wysiłek wdrożeniowy.;T1059.001
EP-11;Końcówki – PowerShell i skrypty;PowerShell 2.0 usunięty;Średnie;Niski;Silnik PowerShell 2.0 nie jest zainstalowany (brak możliwości obejścia logowania i CLM przez powershell -version 2).;Downgrade do PS 2.0 omija logowanie i AMSI.;Get-WindowsOptionalFeature -Online -FeatureName MicrosoftWindowsPowerShellV2Root;PowerShell;;;Disable-WindowsOptionalFeature -Online -FeatureName MicrosoftWindowsPowerShellV2Root (w najnowszych wersjach Windows komponent został już usunięty).;Bardzo stare skrypty mogą wymagać PS 2.0 – rzadkie.;T1059.001
EP-12;Końcówki – PowerShell i skrypty;Logowanie PowerShell na końcówkach;Średnie;Niski;"Script Block Logging (4104) włączone, zdarzenia trafiają do SIEM/EDR; opcjonalnie transkrypcja do chronionego udziału.";Widoczność złośliwych skryptów, także zaciemnionych.;Zdarzenia 4104 z końcówek w SIEM.;SIEM;;;"GPO: Windows Components > Windows PowerShell > Turn on PowerShell Script Block Logging = Enabled; Module Logging = Enabled; (opcjonalnie) Transcription do udziału z uprawnieniem tylko zapisu.";Wolumen logów – filtruj w SIEM.;T1059.001
EP-13;Końcówki – PowerShell i skrypty;Kontrola aplikacji (WDAC/AppLocker);Wysokie;Wysoki;Użytkownicy nie mogą uruchamiać plików wykonywalnych z katalogów zapisywalnych (Downloads, AppData, Temp).;Blokuje większość malware dostarczanego przez phishing.;"Get-AppLockerPolicy -Effective; stan polityk WDAC (CiTool --list-policies).";PowerShell;;;Etap 1: AppLocker/WDAC – reguły domyślne (Windows, Program Files) w trybie audytu → enforce. Etap 2: blokada LOLBinów niepotrzebnych użytkownikom (mshta, wscript, cscript, regsvr32 dla użytkowników).;Wymaga inwentaryzacji aplikacji.;T1204.002
EP-14;Końcówki – PowerShell i skrypty;Makra Office z internetu zablokowane;Wysokie;Niski;"Makra w plikach z Mark-of-the-Web są blokowane; pozostałe tylko podpisane.";Makra to jedna z głównych dróg infekcji.;GPO/Intune: ustawienia Trust Center dla Word/Excel/PowerPoint.;GPO;;;"User Configuration > Administrative Templates > Microsoft Office > [aplikacja] > Options > Security > Trust Center: Block macros from running in Office files from the Internet = Enabled; VBA Macro Notification Settings = Disable all except digitally signed macros.";Działy używające makr – podpisywanie makr.;T1204.002
EP-15;Końcówki – PowerShell i skrypty;Blokada Windows Script Host / HTA dla użytkowników;Średnie;Niski;Pliki .js, .vbs, .wsf, .hta nie uruchamiają się dwuklikiem.;Częsty ładunek w załącznikach i archiwach.;"Sprawdź skojarzenia plików; test dwukliku na pliku .js.";GPO;;;"GPO Preferences: skojarz .js/.jse/.vbs/.vbe/.wsf/.hta z notepad.exe; lub HKCU\Software\Microsoft\Windows Script Host\Settings Enabled=0 dla użytkowników; blokada mshta w WDAC/AppLocker.";;T1059.005
EP-20;Końcówki – ochrona systemu;Reguły ASR (Defender) w trybie blokowania;Wysokie;Średni;Kluczowe reguły Attack Surface Reduction włączone w trybie Block.;Blokują typowe techniki: kradzież z LSASS, procesy potomne Office, uruchamianie z poczty.;Get-MpPreference | Select AttackSurfaceReductionRules_Ids,AttackSurfaceReductionRules_Actions;PowerShell, Defender;;;"Priorytetowe reguły (Block = 1), najpierw audyt (2):
• Block credential stealing from LSASS – 9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2
• Block Office apps from creating child processes – d4f940ab-401b-4efc-aadc-ad5f3c50688a
• Block executable content from email – be9ba2d9-53ea-4cdc-84e5-9b1eeee46550
• Block abuse of exploited vulnerable signed drivers – 56a863a9-875e-4185-98a7-b882c64b5ce5
• Block JS/VBS from launching downloaded executable content – d3e037e1-3eb8-44c8-a917-57927947596d
GUID-y zweryfikuj z aktualną dokumentacją Microsoft.";Tryb audytu przez 2–4 tygodnie, potem wyjątki i Block.;T1003.001, T1204
EP-21;Końcówki – ochrona systemu;EDR na wszystkich hostach i ochrona przed manipulacją;Krytyczne;Średni;EDR/AV zainstalowany i raportujący na 100% stacji i serwerów, Tamper Protection włączona.;Host bez EDR to ślepa plamka – atakujący wybiera właśnie taki.;Porównanie liczby hostów w AD z konsolą EDR.;Konsola EDR, PowerShell;;;"Raport pokrycia (AD vs EDR) co miesiąc; włącz Tamper Protection; alert na wyłączenie agenta.";;T1562.001
EP-22;Końcówki – ochrona systemu;VBS / HVCI i Secure Boot;Średnie;Średni;"Secure Boot i Memory Integrity (HVCI) włączone; blokowanie podatnych sterowników.";Utrudnia ładowanie złośliwych i podatnych sterowników (BYOVD).;msinfo32: Secure Boot State, Virtualization-based security Services Running.;PowerShell;;;"GPO Device Guard: Virtualization Based Protection of Code Integrity = Enabled with UEFI lock; Microsoft vulnerable driver blocklist włączona.";Stare sterowniki mogą być niezgodne – test.;T1068
